ID,Gene title,Gene symbol,Platform_ORF
1549,snoRNA-binding rRNA-processing protein IMP4,IMP4,YNL075W
1550,hypothetical protein,YCR016W,YCR016W
1551,pyruvate kinase PYK2,PYK2,YOR347C
1552,Apd1p,APD1,YBR151W
1554,Get4p,GET4,YOR164C
1555,methylenetetrahydrofolate dehydrogenase (NAD(+)),MTD1,YKR080W
1556,glycerol-1-phosphatase RHR2,GPP1,YIL053W
1557,N-acetylphosphatidylethanolamine-hydrolyzing phospholipase D,FMP30,YPL103C
1558,NEDD8 ligase DCN1,DCN1,YLR128W
1559,Sec17p,SEC17,YBL050W
1560,3-dehydrosphinganine reductase,TSC10,YBR265W
1561,hypothetical protein,YDL218W,YDL218W
1562,Atc1p,ATC1,YDR184C
1563,putative ammonium permease ATO2,ATO2,YNR002C
1564,orotidine-5'-phosphate decarboxylase,URA3,YEL021W
1565,SUMO-targeted ubiquitin ligase complex subunit SLX8,SLX8,YER116C
1566,ribosomal 40S subunit protein S2,RPS2,YGL123W
1567,N-terminal protein methyltransferase,TAE1,YBR261C
1569,protein disulfide isomerase MPD2,MPD2,YOL088C
1570,Lcl3p,LCL3,YGL085W
1571,hypothetical protein,YOR062C,YOR062C
1572,glutathione transferase GTT2,GTT2,YLL060C
1573,Cbt1p,CBT1,YKL208W
1574,Rex2p,REX2,YLR059C
1575,arylformamidase,BNA7,YDR428C
1576,Gir2p,GIR2,YDR152W
1577,Isc10p,ISC10,YER180C
1578,Mcm21p,MCM21,YDR318W
1579,nicotinamide-nucleotide adenylyltransferase,POF1,YCL047C
1580,Pet20p,PET20,YPL159C
1581,Duo1p,DUO1,YGL061C
1582,Tos8p,TOS8,YGL096W
1583,Ber1p,BER1,YLR412W
1584,Mss18p,MSS18,YPR134W
1585,Signal recognition particle receptor subunit beta,SRP102,YKL154W
1586,RNA polymerase II subunit B1 CTD phosphatase RTR1,RTR1,YER139C
1587,endopeptidase catalytic subunit IMP1,IMP1,YMR150C
1588,Nas2p,NAS2,YIL007C
1589,hypothetical protein,YIL089W,YIL089W
1590,MIND complex subunit NSL1,NSL1,YPL233W
1591,Ran GTPase-binding protein YRB1,YRB1,YDR002W
1592,rRNA-processing protein FCF1,FCF1,YDR339C
1593,protein-tyrosine-phosphatase,OCA6,YDR067C
1594,chaperone protein HSP26,HSP26,YBR072W
1595,Mei5p,MEI5,YPL121C
1596,ribosomal 40S subunit protein S5,RPS5,YJR123W
1598,pseudo,AAD6,YFL056C
1599,Irc19p,IRC19,YLL033W
1600,Nhp10p,NHP10,YDL002C
1602,Erp1p,ERP1,YAR002C-A
1603,kinetochore-associated Ndc80 complex subunit SPC25,SPC25,YER018C
1604,ribosomal 60S subunit protein L16A,RPL16A,YIL133C
1605,Uaf30p,UAF30,YOR295W
1606,proteasome core particle subunit beta 3,PUP3,YER094C
1607,pseudo,SDL1,YIL167W
1608,N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase catalytic subunit ALG13,ALG13,YGL047W
1609,Rab family GTPase YPT10,YPT10,YBR264C
1610,translation initiation factor eIF4E,CDC33,YOL139C
1611,hypothetical protein,YPR089W,YPR089W
1612,cytochrome c oxidase subunit IV,COX4,YGL187C
1614,Jip4p,JIP4,YDR475C
1615,DNA-binding protein SRL3,SRL3,YKR091W
1616,hypothetical protein,YPL225W,YPL225W
1617,endopeptidase catalytic subunit,IMP2,YMR035W
1618,hypothetical protein,YMR181C,YMR181C
1619,Tma17p,TMA17,YDL110C
1620,mitochondrial 37S ribosomal protein MRPS8,MRPS8,YMR158W
1621,hypothetical protein,YOL024W,YOL024W
1622,Mic19p,MIC19,YFR011C
1623,E2 SUMO-conjugating protein UBC9,UBC9,YDL064W
1624,protein SHH4,SHH4,YLR164W
1625,hypothetical protein,YOL163W,YOL163W
1626,F1F0 ATP synthase subunit delta,ATP16,YDL004W
1627,Snx3p,SNX3,YOR357C
1628,ribonuclease P protein subunit RPR2,RPR2,YIR015W
1629,glutathione peroxidase GPX1,GPX1,YKL026C
1630,Fyv5p,FYV5,YCL058C
1631,snoRNA-binding protein NHP2,NHP2,YDL208W
1632,phosphatase regulator,IGO1,YNL157W
1633,cornichon family protein,ERV14,YGL054C
1634,ribosomal 60S subunit protein L12A,RPL12A,YEL054C
1635,pseudo,SDL1,YIL168W
1636,ribosomal 60S subunit protein L31A,RPL31A,YDL075W
1637,tubulin-binding prefolding complex subunit YKE2,YKE2,YLR200W
1638,H(+)-transporting V1 sector ATPase subunit F,VMA7,YGR020C
1639,hypothetical protein,YFR035C,YFR035C
1640,,,YOR050C
1641,Tos6p,TOS6,YNL300W
1642,Ies5p,IES5,YER092W
1643,chromatin DNA-binding EKC/KEOPS complex subunit GON7,GON7,YJL184W
1644,Srb6p,SRB6,YBR253W
1645,Pet117p,PET117,YER058W
1646,flavin-linked sulfhydryl oxidase,ERV1,YGR029W
1647,hypothetical protein,YGR050C,YGR050C
1648,acyl carrier protein,ACP1,YKL192C
1649,hypothetical protein,YDL241W,YDL241W
1650,Gat4p,GAT4,YIR013C
1651,,,YGL177W
1652,hypothetical protein,YJR146W,YJR146W
1653,Bli1p,BLI1,YKL061W
1654,seripauperin PAU23,PAU23,YLR037C
1655,ribosomal 40S subunit protein S26A,RPS26A,YGL189C
1656,hypothetical protein,YIL014C-A,YIL015C-A
1657,,,YNL017C
1658,Emc6p,EMC6,YLL014W
1659,Rba50p,RBA50,YDR527W
1660,phosphatidylinositol-binding protein SCS2,SCS2,YER120W
1661,Mnn4p,MNN4,YKL201C
1662,hypothetical protein,YNL058C,YNL058C
1663,stress-responsive transcription factor HSF1,HSF1,YGL073W
1664,RNA-processing protein NOP58,NOP58,YOR310C
1665,Rav2p,RAV2,YDR202C
1666,SKI complex subunit WD repeat protein SKI8,SKI8,YGL213C
1667,ESCRT-III subunit protein SNF7,SNF7,YLR025W
1668,Opy2p,OPY2,YPR075C
1669,hypothetical protein,YGR017W,YGR017W
1670,ribosomal protein P0,RPP0,YLR340W
1672,translation elongation factor EF-3,HEF3,YNL014W
1673,Hem25p,HEM25,YDL119C
1674,Rab geranylgeranyltransferase BET4,BET4,YJL031C
1675,Dic1p,DIC1,YLR348C
1676,,,YDR491C
1677,DNA-binding protein REB1,REB1,YBR049C
1678,Tes1p,TES1,YJR019C
1679,Scd6p,SCD6,YPR129W
1680,Pno1p,PNO1,YOR145C
1681,Yvc1p,YVC1,YOR087W
1682,Afb1p,AFB1,YLR040C
1683,gag-pol fusion protein,YLR035C-A,YLR035C-A
1685,Ssn2p,SSN2,YDR443C
1686,Net1p,NET1,YJL076W
1687,ribosomal 60S subunit protein L1A,RPL1A,YPL220W
1688,homeodomain mating type protein alpha2,MATALPHA2,YCR039C
1689,alpha-glucoside permease,MPH2,YDL247W
1690,hexose transporter HXT13,HXT13,YEL069C
1691,anaphase promoting complex subunit 1,APC1,YNL172W
1692,ribosomal 60S subunit protein L8B,RPL8B,YLL045C
1694,ribosomal 40S subunit protein S8A,RPS8A,YBL072C
1695,gag protein,YAR010C,YAR010C
1696,L-iditol 2-dehydrogenase SOR2,SOR2,YDL246C
1697,,,YGR115C
1698,Dan4p,DAN4,YJR151C
1699,,,YKL030W
1700,cyanamide hydratase,DDI2,YFL061W
1701,gag protein,YBR012W-A,YBR012W-A
1702,Mob2p,MOB2,YFL035C-A
1703,,,YIL082W
1704,pseudo,YIR043C,YIR043C
1705,glutathione-independent methylglyoxalase family protein,HSP32,YPL280W
1706,ribosomal 60S subunit protein L9B,RPL9B,YNL067W
1707,,,YLR280C
1708,hypothetical protein,YGR018C,YGR018C
1709,,,YLR123C
1710,ribosomal 60S subunit protein L43B,RPL43B,YJR094W-A
1711,ribosomal 60S subunit protein L33A,RPL33A,YPL143W
1712,,,YLR322W
1713,,,YKL225W
1714,,,YDL068W
1715,,,YBL094C
1716,,,YNL296W
1718,,,YML010C-B
1719,,,YLR434C
1720,,,YBL109W
1721,hypothetical protein,YFL065C,YFL065C
1722,,,YDL023C
1723,ribosomal 60S subunit protein L42B,RPL42B,YHR141C
1724,,,YOR170W
1725,,,YNL043C
1726,,,YLR282C
1727,,,YDR133C
1728,ribosomal protein P1B,RPP1B,YDL130W
1729,high-mobility group nucleosome-binding protein,NHP6A,YPR052C
1730,,,YGL024W
1764,mitotic regulator LTE1,LTE1,YAL024C
1765,U4/U6-U5 snRNP complex subunit PRP8,PRP8,YHR165C
1766,pyruvate carboxylase 1,PYC1,YGL062W
1767,calcium-transporting ATPase PMC1,PMC1,YGL006W
1768,Spa2p,SPA2,YLL021W
1769,hypothetical protein,YNR065C,YNR065C
1770,Tda9p,TDA9,YML081W
1771,Itc1p,ITC1,YGL133W
1772,Nmd2p,NMD2,YHR077C
1773,gag-pol fusion protein,YJR029W,YJR029W
1774,Laa1p,LAA1,YJL207C
1775,flocculin FLO5,FLO5,YHR211W
1776,serine/threonine protein kinase AKL1,AKL1,YBR059C
1777,Nab6p,NAB6,YML117W
1778,DNA-binding protein RIF1,RIF1,YBR275C
1779,E3 ubiquitin-protein ligase SSM4,SSM4,YIL030C
1780,chromatin-binding protein RAD9,RAD9,YDR217C
1781,DNA-binding transcription factor ADR1,ADR1,YDR216W
1782,Ssn2p,SSN2,YDR443C
1783,Mlp1p,MLP1,YKR095W
1784,valine--tRNA ligase,VAS1,YGR094W
1785,FG-nucleoporin NUP116,NUP116,YMR047C
1786,putative RNA helicase,SLH1,YGR271W
1787,Jsn1p,JSN1,YJR091C
1788,Ysc84p,YSC84,YHR016C
1789,Aly1p,ALY1,YKR021W
1790,Utp18p,UTP18,YJL069C
1791,SNARE-binding exocyst subunit SEC6,SEC6,YIL068C
1792,protein kinase activating protein DPB11,DPB11,YJL090C
1793,Itt1p,ITT1,YML068W
1794,Tok1p,TOK1,YJL093C
1795,ribosomal 60S subunit protein L3,RPL3,YOR063W
1796,phosphate transporter PHO84,PHO84,YML123C
1797,RNA lariat debranching enzyme,DBR1,YKL149C
1798,Ecm25p,ECM25,YJL201W
1799,Rrn9p,RRN9,YMR270C
1800,elongin A,ELA1,YNL230C
1801,glycine hydroxymethyltransferase SHM1,SHM1,YBR263W
1802,Ncs2p,NCS2,YNL119W
1803,protein serine/threonine phosphatase,FCP1,YMR277W
1804,RNA exonuclease,REX3,YLR107W
1805,tryptophan--tRNA ligase WRS1,WRS1,YOL097C
1806,hypothetical protein,YPL014W,YPL014W
1807,allantoicase,DAL2,YIR029W
1808,Ldb17p,LDB17,YDL146W
1809,Kap104p,KAP104,YBR017C
1810,putative mannosyltransferase,KTR5,YNL029C
1811,protein phosphatase 2A structural subunit TPD3,TPD3,YAL016W
1813,Heh2p,HEH2,YDR458C
1814,carnitine O-acetyltransferase CAT2,CAT2,YML042W
1815,Eaf3p,EAF3,YPR023C
1816,uracil permease,FUR4,YBR021W
1817,protein arginine N-methyltransferase,HSL7,YBR133C
1818,RNA-binding ribosome biosynthesis protein MAK21,MAK21,YDR060W
1819,high-affinity Zn(2+) transporter ZRT1,ZRT1,YGL255W
1820,Sdd3p,SDD3,YOL098C
1821,ribose phosphate diphosphokinase subunit PRS4,PRS4,YBL068W
1822,Bug1p,BUG1,YDL099W
1823,Per1p,PER1,YCR044C
1824,Rmd8p,RMD8,YFR048W
1825,zinc metalloprotease,STE24,YJR117W
1826,ATP-dependent RNA helicase FAL1,FAL1,YDR021W
1827,stress-regulated transcription factor RPN4,RPN4,YDL020C
1828,thiamine transporter TPC1,TPC1,YGR096W
1829,actin,ACT1,YFL039C
1830,allantoin permease,DAL4,YIR028W
1831,Ymd8p,YMD8,YML038C
1832,putative ubiquitin-specific protease UBP5,UBP5,YER144C
1834,phosphoinositide 5-phosphatase INP51,INP51,YIL002C
1835,Snf6p,SNF6,YHL025W
1836,hypothetical protein,YBL086C,YBL086C
1837,Mub1p,MUB1,YMR100W
1838,hypothetical protein,YML037C,YML037C
1839,Yap3p,YAP3,YHL009C
1840,coatomer subunit beta',SEC27,YGL137W
1841,NADP-dependent alcohol dehydrogenase,ADH7,YCR105W
1842,Vms1p,VMS1,YDR049W
1843,Mne1p,MNE1,YOR350C
1845,Sip4p,SIP4,YJL089W
1846,transcription factor TFIIIB subunit BRF1,BRF1,YGR246C
1847,mannose-6-phosphate isomerase PMI40,PMI40,YER003C
1848,Etp1p,ETP1,YHL010C
1849,NADH-ubiquinone reductase (H(+)-translocating) NDE2,NDE2,YDL085W
1850,DNA-binding SCF ubiquitin ligase subunit DIA2,DIA2,YOR080W
1851,hypothetical protein,YLR225C,YLR225C
1852,serine/threonine protein kinase PRK1,PRK1,YIL095W
1853,Yrb30p,YRB30,YGL164C
1854,3'-5' DNA helicase,MPH1,YIR002C
1855,Yhp1p,YHP1,YDR451C
1856,Gds1p,GDS1,YOR355W
1857,Dlt1p,DLT1,YMR126C
1858,Tti2p,TTI2,YJR136C
1859,Sng1p,SNG1,YGR197C
1860,Ctp1p,CTP1,YBR291C
1861,hypothetical protein,YMR018W,YMR018W
1862,hypothetical protein,YER076C,YER076C
1863,protein kinase TDA1,TDA1,YMR291W
1864,Ssz1p,SSZ1,YHR064C
1865,Thp3p,THP3,YPR045C
1866,fatty acid elongase ELO2,ELO2,YCR034W
1867,U2 snRNP complex subunit CUS1,CUS1,YMR240C
1868,MCM DNA helicase complex subunit MCM6,MCM6,YGL201C
1869,serine/threonine protein kinase NPR1,NPR1,YNL183C
1870,"mannosyl-oligosaccharide 1,2-alpha-mannosidase",MNS1,YJR131W
1871,transketolase TKL1,TKL1,YPR074C
1872,SCF ubiquitin ligase complex subunit CDC4,CDC4,YFL009W
1873,Ies2p,IES2,YNL215W
1874,histidine permease,HIP1,YGR191W
1875,Pho80p,PHO80,YOL001W
1876,adenylosuccinase ADE13,ADE13,YLR359W
1877,Jip5p,JIP5,YPR169W
1878,Fe-S cluster-binding ATPase,NBP35,YGL091C
1879,translation initiation factor eIF2B subunit gamma,GCD1,YOR260W
1880,Mtm1p,MTM1,YGR257C
1881,Mam3p,MAM3,YOL060C
1882,DNA-binding transcription factor YAP1,YAP1,YML007W
1884,25S rRNA (adenine645-N1)-methyltransferase,RRP8,YDR083W
1885,Crn1p,CRN1,YLR429W
1886,Tna1p,TNA1,YGR260W
1887,translation initiation factor eIF2B catalytic subunit epsilon,GCD6,YDR211W
1888,sorting nexin 1,VPS5,YOR069W
1889,histidinol-phosphate transaminase,HIS5,YIL116W
1890,endopolyphosphatase,PPN1,YDR452W
1891,omega-class glutathione transferase,GTO3,YMR251W
1892,S-formylglutathione hydrolase,YJL068C,YJL068C
1893,proteasome regulatory particle lid subunit RPN3,RPN3,YER021W
1894,Rgl1p,RGL1,YPL066W
1895,hypothetical protein,YJL016W,YJL017W
1896,"putative glycosylphosphatidylinositol-alpha 1,2 mannosyltransferase",GPI10,YGL142C
1897,End3p,END3,YNL084C
1898,mitochondrial 37S ribosomal protein RSM22,RSM22,YKL155C
1899,aspartate/glutamate transporter,AVT6,YER119C
1900,Dip5p,DIP5,YPL265W
1901,putative lipase,YJR107W,YJR107W
1903,Tma46p,TMA46,YOR091W
1904,Seg1p,SEG1,YMR086W
1905,hypothetical protein,YHR045W,YHR045W
1906,SCF ubiquitin ligase complex subunit SAF1,SAF1,YBR280C
1907,hexokinase,YLR446W,YLR446W
1908,glycerol kinase,GUT1,YHL032C
1909,proteasome regulatory particle base subunit RPT4,RPT4,YOR259C
1910,Cos8p,COS8,YHL048W
1911,Ddc1p,DDC1,YPL194W
1912,hypothetical protein,YJR030C,YJR030C
1913,glutamate-5-semialdehyde dehydrogenase,PRO2,YOR323C
1914,ubiquitin-conjugating protein DMA1,DMA1,YHR115C
1915,Flr1p,FLR1,YBR008C
1916,Gzf3p,GZF3,YJL110C
1917,ubiquitin-binding ESCRT-I subunit protein STP22,STP22,YCL008C
1918,"alpha-1,6-mannosyltransferase",HOC1,YJR075W
1919,putative mannosyltransferase,KTR6,YPL053C
1920,Put3p,PUT3,YKL015W
1921,Vam6p,VAM6,YDL077C
1922,ubiquitin-protein ligase TUL1,TUL1,YKL034W
1923,acid phosphatase DET1,DET1,YDR051C
1924,mismatch repair protein MLH2,MLH2,YLR035C
1925,Aft2p,AFT2,YPL202C
1926,Ebp2p,EBP2,YKL172W
1927,hypothetical protein,YDL199C,YDL199C
1928,nucleoporin NUP2,NUP2,YLR335W
1929,syntaxin-binding protein,SLY1,YDR189W
1930,GTPase GUF1,GUF1,YLR289W
1931,long-chain fatty acid transporter FAT1,FAT1,YBR041W
1932,DNA-directed RNA polymerase core subunit RPC40,RPC40,YPR110C
1933,"phosphatidylinositol 4,5-bisphosphate-binding protein",SLM1,YIL105C
1934,Mch4p,MCH4,YOL119C
1935,Thi73p,THI73,YLR004C
1936,adenyl-nucleotide exchange factor SSE2,SSE2,YBR169C
1937,peptidylprolyl isomerase CPR7,CPR7,YJR032W
1938,Sps22p,SPS22,YCL048W
1939,hypothetical protein,YJL107C,YJL107C
1940,oxysterol-binding protein KES1,KES1,YPL145C
1941,sphinganine kinase LCB5,LCB5,YLR260W
1942,Asf2p,ASF2,YDL197C
1943,phosphatidylinositol-3-phosphatase SAC1,SAC1,YKL212W
1944,anaphase promoting complex subunit 4,APC4,YDR118W
1945,uroporphyrinogen-III C-methyltransferase,MET1,YKR069W
1946,Ist2p,IST2,YBR086C
1947,exosome nuclease subunit RRP6,RRP6,YOR001W
1948,Plm2p,PLM2,YDR501W
1949,Bud6p,BUD6,YLR319C
1950,putative ATP-dependent RNA helicase SPB4,SPB4,YFL002C
1951,sterol 24-C-methyltransferase,ERG6,YML008C
1952,S-adenosylmethionine-dependent methyltransferase,EFM2,YBR271W
1953,histone deacetylase,HOS3,YPL116W
1954,3-isopropylmalate dehydratase LEU1,LEU1,YGL009C
1955,Utp14p,UTP14,YML093W
1956,Ptm1p,PTM1,YKL039W
1957,tyrosyl-DNA phosphodiesterase 1,TDP1,YBR223C
1958,Bzz1p,BZZ1,YHR114W
1959,GMP synthase (glutamine-hydrolyzing),GUA1,YMR217W
1960,DNA-binding transcription factor SWI5,SWI5,YDR146C
1961,Golgi transport complex subunit COG8,COG8,YML071C
1962,Bre2p,BRE2,YLR015W
1963,Rgd1p,RGD1,YBR260C
1964,Vhr1p,VHR1,YIL056W
1965,Vid27p,VID27,YNL212W
1966,chaperonin-containing T-complex subunit CCT6,CCT6,YDR188W
1968,Msc1p,MSC1,YML128C
1969,Cmr1p,CMR1,YDL156W
1970,SPX domain-containing inorganic phosphate transporter,PHO90,YJL198W
1971,Hrp1p,HRP1,YOL123W
1972,Dse1p,DSE1,YER124C
1973,tRNA 1-methyladenosine methyltransferase subunit GCD10,GCD10,YNL062C
1974,rRNA (cytosine-C5-)-methyltransferase NOP2,NOP2,YNL061W
1975,Acl4p,ACL4,YDR161W
1976,Ptr2p,PTR2,YKR093W
1977,co-chaperone SGT1,SGT1,YOR057W
1978,hypothetical protein,YGR021W,YGR021W
1979,Aga1p,AGA1,YNR044W
1980,phosphoprotein phosphatase PP4 catalytic subunit PPH3,PPH3,YDR075W
1981,S-adenosylmethionine-dependent methyltransferase,CRG1,YHR209W
1982,Per33p,PER33,YLR064W
1983,putative hydrolase,NIT2,YJL126W
1984,"glucan 1,3-beta-glucosidase",BGL2,YGR282C
1985,Fe(2+) transporter,MRS4,YKR052C
1986,prohibitin subunit PHB2,PHB2,YGR231C
1987,Pet10p,PET10,YKR046C
1988,putative peptidylprolyl isomerase CWC27,CWC27,YPL064C
1989,PAQR-type receptor,IZH1,YDR492W
1990,Rtn1p,RTN1,YDR233C
1991,casein kinase 2 regulatory subunit CKB1,CKB1,YGL019W
1993,epoxide hydrolase,YNR064C,YNR064C
1994,Kti12p,KTI12,YKL110C
1995,nicotinate-nucleotide diphosphorylase (carboxylating),BNA6,YFR047C
1996,Asi2p,ASI2,YNL159C
1997,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase",COQ5,YML110C
1998,hypothetical protein,YCR100C,YCR100C
1999,mitochondrial 37S ribosomal protein PET123,PET123,YOR158W
2000,Oxr1p,OXR1,YPL196W
2001,Izh4p,IZH4,YOL101C
2002,U4/U6-U5 snRNP complex subunit SPP381,SPP381,YBR152W
2003,Yip5p,YIP5,YGL161C
2004,proteasome core particle subunit alpha 3,PRE9,YGR135W
2005,histone H1,HHO1,YPL127C
2006,GTP cyclohydrolase I,FOL2,YGR267C
2007,bifunctional glutathione transferase/peroxidase,GTT1,YIR038C
2008,superoxide dismutase SOD2,SOD2,YHR008C
2009,Mcm22p,MCM22,YJR135C
2010,translation initiation factor eIF3 core subunit j,HCR1,YLR192C
2011,chorismate mutase ARO7,ARO7,YPR060C
2012,anaphase promoting complex subunit 9,APC9,YLR102C
2013,Spc29p,SPC29,YPL124W
2014,Rot1p,ROT1,YMR200W
2015,thymidylate synthase,CDC21,YOR074C
2017,Hri1p,HRI1,YLR301W
2018,Hap2p,HAP2,YGL237C
2019,Psy3p,PSY3,YLR376C
2020,hypothetical protein,YFR020W,YFR020W
2021,mitochondrial 54S ribosomal protein YmL15,MRPL15,YLR312W-A
2022,hypothetical protein,YBR242W,YBR242W
2023,Ecm13p,ECM13,YBL043W
2024,polynucleotide 3'-phosphatase,TPP1,YMR156C
2025,ribosomal 60S subunit protein L7A,RPL7A,YGL076C
2026,proteasome core particle subunit alpha 2,PRE8,YML092C
2027,exosome non-catalytic core subunit RRP46,RRP46,YGR095C
2029,Fit3p,FIT3,YOR383C
2030,Igd1p,IGD1,YFR017C
2031,translation elongation factor 1 subunit beta,EFB1,YAL003W
2032,syntaxin,SYN8,YAL014C
2033,Arc18p,ARC18,YLR370C
2034,mitogen-activated protein kinase tyrosine protein phosphatase SDP1,SDP1,YIL113W
2035,Erp6p,ERP6,YGL002W
2036,Rgm1p,RGM1,YMR182C
2037,Emc10p,EMC10,YDR056C
2038,Atg27p,ATG27,YJL178C
2039,flavodoxin-like fold family protein,PST2,YDR032C
2040,U2 snRNP complex subunit HSH49,HSH49,YOR319W
2041,hypothetical protein,YBR071W,YBR071W
2042,hypothetical protein,YIL024C,YIL024C
2043,Hsp90 cochaperone SBA1,SBA1,YKL117W
2044,protein SHH3,SHH3,YMR118C
2045,methylated-DNA--protein-cysteine methyltransferase,MGT1,YDL200C
2046,bifunctional phosphatidyl-N-methylethanolamine N-methyltransferase/phosphatidyl-N-dimethylethanolamine N-methyltransferase,OPI3,YJR073C
2047,Erp5p,ERP5,YHR110W
2048,DNA replication protein PSF2,PSF2,YJL072C
2049,MIND complex subunit NNF1,NNF1,YJR112W
2050,Sec63 complex subunit SEC66,SEC66,YBR171W
2051,Yet3p,YET3,YDL072C
2052,Tvp18p,TVP18,YMR071C
2053,superoxide dismutase SOD1,SOD1,YJR104C
2054,Rcf1p,RCF1,YML030W
2055,type 1 protein phosphatase-activating protein YPI1,YPI1,YFR003C
2056,bifunctional dITP/dUTP diphosphatase,DUT1,YBR252W
2057,Pex34p,PEX34,YCL056C
2058,E2 ubiquitin-conjugating protein UBC13,UBC13,YDR092W
2059,Sen15p,SEN15,YMR059W
2060,putative E2 ubiquitin-protein ligase UBC11,UBC11,YOR339C
2061,Yet2p,YET2,YMR040W
2062,mitochondrial 54S ribosomal protein YmL28,MRPL28,YDR462W
2064,Aim29p,AIM29,YKR074W
2065,cytosine deaminase,FCY1,YPR062W
2066,H(+)-transporting V0 sector ATPase subunit c',VMA11,YPL234C
2067,proteasome regulatory particle lid subunit RPN13,RPN13,YLR421C
2068,Shu1p,SHU1,YHL006C
2069,Cse2p,CSE2,YNR010W
2070,hypothetical protein,YPL071C,YPL071C
2071,Cbp6p,CBP6,YBR120C
2072,mitochondrial 54S ribosomal protein YmL27,MRPL27,YBR282W
2073,Bns1p,BNS1,YGR230W
2074,,,YLR400W
2075,,,YEL028W
2076,,,YLR111W
2077,H(+)-transporting V1 sector ATPase subunit G,VMA10,YHR039C-B
2078,,,YGL118C
2079,,,YAL045C
2080,,,YBR190W
2081,mRNA splicing protein SMD3,SMD3,YLR147C
2082,,,YEL014C
2083,hypothetical protein,YHR138C,YHR138C
2084,Cmc1p,CMC1,YKL137W
2085,hypothetical protein,YEL073C,YEL073C
2087,SAGA histone acetyltransferase complex subunit SGF11,SGF11,YPL047W
2088,,,YLR184W
2089,,,YLR365W
2090,Tim12p,TIM12,YBR091C
2091,,,YAL069W
2092,,,YHR139C-A
2093,,,YHR125W
2094,,,YAR030C
2095,,,YBR027C
2096,,,YDR102C
2097,lipid-binding protein HSP12,HSP12,YFL014W
2098,,,YMR254C
2099,,,YER181C
2100,Wwm1p,WWM1,YFL010C
2101,Srl1p,SRL1,YOR247W
2102,hypothetical protein,YJL016W,YJL016W
2103,,,YDL094C
2104,spermine transporter,TPO3,YPR156C
2105,,,YOR300W
2106,D-amino-acid N-acetyltransferase,HPA3,YEL066W
2107,Hsp70 family ATPase SSC1,SSC1,YJR045C
2108,Mf(alpha)2p,MF(ALPHA)2,YGL089C
2109,,,YBR113W
2110,Sna3p,SNA3,YJL151C
2111,glutathione-disulfide reductase GRX6,GRX6,YDL010W
2112,Rrp15p,RRP15,YPR143W
2113,hypothetical protein,YNL108C,YNL108C
2114,myo-inositol transporter ITR1,ITR1,YDR497C
2115,Ast1p,AST1,YBL069W
2116,,,YCR064C
2117,,,YPL102C
2118,flavin-linked sulfhydryl oxidase,ERV2,YPR037C
2119,hypothetical protein,YMR295C,YMR295C
2120,Dal80p,DAL80,YKR034W
2121,,,YBR224W
2122,,,YDL221W
2123,hypothetical protein,YBR090C,YBR090C
2124,,,YGL152C
2125,,,YDR537C
2126,ribosomal 60S subunit protein L19B,RPL19B,YBL027W
2127,,,YGR293C
2128,transcriptional co-activator mating type protein alpha,MATALPHA1,YCR040W
2129,E2 ubiquitin-conjugating protein UBC4,UBC4,YBR082C
2130,hypothetical protein,YAR066W,YAR066W
2131,hypothetical protein,YFL067W,YFL067W
2132,ribosomal 60S subunit protein L18B,RPL18B,YNL301C
2133,ribosomal 60S subunit protein L21B,RPL21B,YPL079W
2134,hypothetical protein,YAR068W,YAR068W
2135,,,YAR075W
2136,ribosomal 60S subunit protein L15B,RPL15B,YMR121C
2137,,,YDL151C
2138,hypothetical protein,YLR358C,YLR358C
2139,ribosomal 60S subunit protein L20B,RPL20B,YOR312C
2140,adrenodoxin,YAH1,YPL252C
2141,seripauperin PAU22,PAU22,YPL282C
2142,,,YBR089W
2143,ribosomal 60S subunit protein L17A,RPL17A,YKL180W
2144,hypothetical protein,YGL235W,YGL235W
2145,,,YPR150W
2147,mitochondrial 54S ribosomal protein YmL38/YmL34,MRPL38,YKL170W
2148,,,YGR139W
2149,Pbi2p,PBI2,YNL015W
2150,Tom6p,TOM6,YOR045W
2151,Sae3p,SAE3,YHR079C-B
2152,,,YNL235C
2154,Arf family guanine nucleotide exchange factor SBH1,SBH1,YER087C-A
2155,pseudo,YAR061W,YAR061W
2156,,,YMR194C-A
2157,ribosomal 40S subunit protein S29B,RPS29B,YDL061C
2158,,,YPR039W
2160,metallo-aminopeptidase,APE2,YKL158W
2161,ribosomal 40S subunit protein S28B,RPS28B,YLR264W
2162,ubiquinol--cytochrome-c reductase subunit 9,QCR9,YGR183C
2163,ribosomal 40S subunit protein S29A,RPS29A,YLR388W
2164,,,YJL142C
2166,,,YGR039W
2167,mitochondrial 54S ribosomal protein YmL39,MRPL39,YML009C
2168,mRNA splicing protein SMX3,SMX3,YPR182W
2169,proteolipid ATPase,PMP2,YEL017C-A
2170,,,YKL131W
2205,Sec31p,SEC31,YDL195W
2206,Her1p,HER1,YOR227W
2207,CORVET complex membrane-binding subunit VPS8,VPS8,YAL002W
2208,Rsf2p,RSF2,YJR127C
2209,Ede1p,EDE1,YBL047C
2210,serine/threonine protein kinase PSK2,PSK2,YOL045W
2211,Sdd4p,SDD4,YPR022C
